# Source: 2015 year from 2019 IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
gnb,ROAD,Total,39.79
gnb,RAIL,Total,0.43
gnb,DOMESNAV,Total,0.04
gnq,MARBUNK,Total,1.7
gnq,AVBUNK,Total,3.82
gnq,DOMESAIR,Total,0.51
gnq,ROAD,Total,26.77
gnq,RAIL,Total,0.29
gnq,DOMESNAV,Total,0.03
grc,MARBUNK,Total,1783
grc,AVBUNK,Total,824
grc,DOMESAIR,Total,167
grc,ROAD,Total,4981
grc,RAIL,Total,59
grc,DOMESNAV,Total,534
grd,MARBUNK,Total,8.08
grd,AVBUNK,Total,12.72
grd,DOMESAIR,Total,1.17
grd,ROAD,Total,36.88
grd,DOMESNAV,Total,0.22
gtm,MARBUNK,Total,350
gtm,AVBUNK,Total,62
gtm,DOMESAIR,Total,3
gtm,ROAD,Total,2481
guf,MARBUNK,Total,19.25
guf,AVBUNK,Total,30.3
guf,DOMESAIR,Total,2.78
guf,ROAD,Total,87.82
guf,DOMESNAV,Total,0.51
guy,MARBUNK,Total,56.59
guy,AVBUNK,Total,89.09
guy,DOMESAIR,Total,8.18
guy,ROAD,Total,258.22
guy,DOMESNAV,Total,1.51
hkg,MARBUNK,Total,8567
hkg,AVBUNK,Total,6405
hkg,DOMESAIR,Total,5
hkg,ROAD,Total,2429
hkg,DOMESNAV,Total,0
hnd,MARBUNK,Total,6
hnd,AVBUNK,Total,71
hnd,DOMESAIR,Total,13
hnd,ROAD,Total,1304
hrv,MARBUNK,Total,4
hrv,AVBUNK,Total,114
hrv,DOMESAIR,Total,10
hrv,ROAD,Total,1887
hrv,RAIL,Total,37
hrv,DOMESNAV,Total,42
hti,AVBUNK,Total,23
hti,ROAD,Total,467
hun,AVBUNK,Total,180
hun,DOMESAIR,Total,0
hun,ROAD,Total,4041
hun,RAIL,Total,141
hun,DOMESNAV,Total,6
idn,MARBUNK,Total,232
idn,AVBUNK,Total,1388
idn,DOMESAIR,Total,2276
idn,ROAD,Total,37356
idn,RAIL,Total,0
idn,DOMESNAV,Total,2108
ind,MARBUNK,Total,1386
ind,AVBUNK,Total,3591
ind,DOMESAIR,Total,3080
ind,ROAD,Total,78661
ind,RAIL,Total,4249
ind,DOMESNAV,Total,701
irl,MARBUNK,Total,156
irl,AVBUNK,Total,818
irl,DOMESAIR,Total,8
irl,ROAD,Total,3610
irl,RAIL,Total,39
irl,DOMESNAV,Total,70
irn,MARBUNK,Total,4656
irn,AVBUNK,Total,1386
irn,ROAD,Total,41941
irn,RAIL,Total,26
irq,MARBUNK,Total,219
irq,AVBUNK,Total,561
irq,ROAD,Total,8308
irq,RAIL,Total,4
isl,MARBUNK,Total,47
isl,AVBUNK,Total,220
isl,DOMESAIR,Total,7
isl,ROAD,Total,282
isl,DOMESNAV,Total,8
isr,MARBUNK,Total,252
isr,AVBUNK,Total,901
isr,DOMESAIR,Total,23
isr,ROAD,Total,5630
isr,RAIL,Total,3
ita,MARBUNK,Total,1900
ita,AVBUNK,Total,3166
ita,DOMESAIR,Total,697
ita,ROAD,Total,33609
ita,RAIL,Total,461
ita,DOMESNAV,Total,932
jam,MARBUNK,Total,265
jam,AVBUNK,Total,197
jam,DOMESAIR,Total,0
jam,ROAD,Total,606
jam,RAIL,Total,0
jor,MARBUNK,Total,5
jor,AVBUNK,Total,303
jor,DOMESAIR,Total,9
jor,ROAD,Total,2603
jor,RAIL,Total,1
jpn,MARBUNK,Total,4308
jpn,AVBUNK,Total,6458
jpn,DOMESAIR,Total,3397
jpn,ROAD,Total,63719
jpn,RAIL,Total,1680
jpn,DOMESNAV,Total,3153
kaz,MARBUNK,Total,97
kaz,AVBUNK,Total,316
kaz,DOMESAIR,Total,80
kaz,ROAD,Total,4573
kaz,RAIL,Total,152
kaz,DOMESNAV,Total,9
ken,MARBUNK,Total,40
ken,AVBUNK,Total,676
ken,DOMESAIR,Total,20
ken,ROAD,Total,2648
ken,RAIL,Total,38
ken,DOMESNAV,Total,1
kgz,MARBUNK,Total,0
kgz,AVBUNK,Total,108
kgz,DOMESAIR,Total,2
kgz,ROAD,Total,910
kgz,RAIL,Total,12
kgz,DOMESNAV,Total,0
khm,AVBUNK,Total,93
khm,DOMESAIR,Total,6
khm,ROAD,Total,1181
khm,RAIL,Total,165
khm,DOMESNAV,Total,43
kir,MARBUNK,Total,0.57
kir,AVBUNK,Total,0.6
kir,DOMESAIR,Total,0.48
kir,ROAD,Total,7.74
kir,DOMESNAV,Total,0.47
kna,MARBUNK,Total,3.78
kna,AVBUNK,Total,5.94
kna,DOMESAIR,Total,0.55
kna,ROAD,Total,17.23
kna,DOMESNAV,Total,0.1
kor,MARBUNK,Total,9430
kor,AVBUNK,Total,4407
kor,DOMESAIR,Total,1228
kor,ROAD,Total,32104
kor,RAIL,Total,304
kor,DOMESNAV,Total,219
kwt,MARBUNK,Total,1200
kwt,AVBUNK,Total,786
kwt,ROAD,Total,4731
lao,MARBUNK,Total,34.89
lao,AVBUNK,Total,36.74
lao,DOMESAIR,Total,29.09
lao,ROAD,Total,470.2
lao,DOMESNAV,Total,28.6
lbn,MARBUNK,Total,0
lbn,AVBUNK,Total,219
lbn,ROAD,Total,2822
lbn,RAIL,Total,1
lbr,MARBUNK,Total,6.52
lbr,AVBUNK,Total,14.63
lbr,DOMESAIR,Total,1.94
lbr,ROAD,Total,102.43
lbr,RAIL,Total,1.1
lbr,DOMESNAV,Total,0.11
lby,MARBUNK,Total,80
lby,AVBUNK,Total,54
lby,DOMESAIR,Total,15
lby,ROAD,Total,5127
lca,MARBUNK,Total,13.21
lca,AVBUNK,Total,20.79
lca,DOMESAIR,Total,1.91
lca,ROAD,Total,60.27
lca,DOMESNAV,Total,0.35
lka,MARBUNK,Total,403
lka,AVBUNK,Total,390
lka,DOMESAIR,Total,3
lka,ROAD,Total,2769
lka,RAIL,Total,40
lka,DOMESNAV,Total,44
lso,MARBUNK,Total,3
lso,AVBUNK,Total,6.74
lso,DOMESAIR,Total,0.89
lso,ROAD,Total,47.16
lso,RAIL,Total,0.51
lso,DOMESNAV,Total,0.05
ltu,MARBUNK,Total,76
ltu,AVBUNK,Total,81
ltu,DOMESAIR,Total,0
ltu,ROAD,Total,1654
ltu,RAIL,Total,54
ltu,DOMESNAV,Total,5
lux,AVBUNK,Total,457
lux,DOMESAIR,Total,0
lux,ROAD,Total,1946
lux,RAIL,Total,22
lux,DOMESNAV,Total,0
lva,MARBUNK,Total,253
lva,AVBUNK,Total,107
lva,DOMESAIR,Total,0
lva,ROAD,Total,965
lva,RAIL,Total,71
lva,DOMESNAV,Total,3
mac,MARBUNK,Total,3.12
mac,AVBUNK,Total,3.28
mac,DOMESAIR,Total,2.6
mac,ROAD,Total,42
mac,DOMESNAV,Total,2.55
mar,MARBUNK,Total,133
mar,AVBUNK,Total,686
mar,DOMESAIR,Total,27
mar,ROAD,Total,5283
mar,RAIL,Total,39
mar,DOMESNAV,Total,0
mda,MARBUNK,Total,0
mda,AVBUNK,Total,25
mda,ROAD,Total,631
mda,RAIL,Total,6
mda,DOMESNAV,Total,1
mdg,MARBUNK,Total,35.33
mdg,AVBUNK,Total,79.28
mdg,DOMESAIR,Total,10.49
mdg,ROAD,Total,555.07
mdg,RAIL,Total,5.95
mdg,DOMESNAV,Total,0.58
mdv,MARBUNK,Total,2.35
mdv,AVBUNK,Total,2.48
mdv,DOMESAIR,Total,1.96
mdv,ROAD,Total,31.73
mdv,DOMESNAV,Total,1.93
mex,MARBUNK,Total,850
mex,AVBUNK,Total,3450
mex,DOMESAIR,Total,15
mex,ROAD,Total,49525
mex,RAIL,Total,769
mex,DOMESNAV,Total,786
mkd,AVBUNK,Total,14
mkd,ROAD,Total,588
mkd,RAIL,Total,3
mli,MARBUNK,Total,25.42
mli,AVBUNK,Total,57.05
mli,DOMESAIR,Total,7.55
mli,ROAD,Total,399.43
mli,RAIL,Total,4.28
mli,DOMESNAV,Total,0.42
mlt,MARBUNK,Total,1534
mlt,AVBUNK,Total,115
mlt,DOMESAIR,Total,2
mlt,ROAD,Total,181
mlt,DOMESNAV,Total,14
mmr,MARBUNK,Total,2
mmr,AVBUNK,Total,46
mmr,DOMESAIR,Total,93
mmr,ROAD,Total,1052
mmr,RAIL,Total,256
mmr,DOMESNAV,Total,91
mne,AVBUNK,Total,18
mne,ROAD,Total,181
mne,RAIL,Total,2
mne,DOMESNAV,Total,3
mng,AVBUNK,Total,22
